,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Guerrero Negro,27.9769,-114.0611,65.77,65,55,11.43,MX,1605236400
1,Vaini,-21.2,-175.2,79.74,84,58,13.98,TO,1605236400
2,Birao,10.2849,22.7882,71.87,24,5,6.62,CF,1605236400
3,New Norfolk,-42.7826,147.0587,70.74,47,76,7.61,AU,1605236400
4,Inongo,-1.95,18.2667,70.75,94,97,4.27,CD,1605236400
5,Busselton,-33.65,115.3333,62.85,65,63,8.14,AU,1605236400
6,Cidreira,-30.1811,-50.2056,67.37,93,6,5.97,BR,1605236400
7,São João da Barra,-21.6403,-41.0511,72.16,92,99,17.83,BR,1605236400
8,Qaqortoq,60.7167,-46.0333,24.73,74,96,5.23,GL,1605236400
9,Hithadhoo,-0.6,73.0833,81.93,79,100,20.07,MV,1605236400
10,Port Alfred,-33.5906,26.891,65.34,84,0,21.74,ZA,1605236400
11,Uravakonda,14.95,77.2667,74.16,88,93,12.41,IN,1605236400
12,Pyu,18.4833,96.4333,79.0,81,17,5.79,MM,1605236400
13,Najrān,17.4924,44.1277,58.23,54,24,1.74,SA,1605236400
14,Oparino,59.8518,48.2783,26.29,98,83,2.15,RU,1605236400
15,Kapaa,22.0752,-159.319,79.25,68,29,17.02,US,1605236400
16,Hobart,-42.8794,147.3294,68.79,45,72,3.85,AU,1605236400
17,Khatanga,71.9667,102.5,-12.15,90,0,6.85,RU,1605236400
18,Ancud,-41.8697,-73.8203,52.84,79,95,10.85,CL,1605236400
19,Cape Town,-33.9258,18.4232,69.69,62,0,5.23,ZA,1605236400
20,Ushuaia,-54.8,-68.3,49.93,71,37,10.47,AR,1605236400
21,Cabo San Lucas,22.8909,-109.9124,73.15,61,58,6.62,MX,1605236400
22,Longyearbyen,78.2186,15.6401,31.71,87,79,11.95,SJ,1605236400
23,Hermanus,-34.4187,19.2345,70.16,56,3,7.58,ZA,1605236400
24,Boguchany,58.3814,97.4531,27.9,97,100,10.74,RU,1605236400
25,Bluff,-46.6,168.3333,61.38,56,4,6.49,NZ,1605236400
26,Benicarló,40.4165,0.4271,57.45,80,100,1.01,ES,1605236400
27,Albany,42.6001,-73.9662,40.51,73,100,4.32,US,1605236400
28,Fortuna,40.5982,-124.1573,46.99,80,19,4.9,US,1605236400
29,Yelyzavethradka,48.8038,32.4046,32.38,92,100,5.17,UA,1605236400
30,Lüderitz,-26.6481,15.1594,60.93,75,0,11.32,NA,1605236400
31,Touros,-5.1989,-35.4608,78.76,77,10,14.54,BR,1605236400
32,Talnakh,69.4865,88.3972,-9.09,85,20,2.06,RU,1605236400
33,Dossor,47.5272,52.9811,26.85,91,3,9.69,KZ,1605236400
34,Faanui,-16.4833,-151.75,79.9,73,72,9.93,PF,1605236400
35,Rikitea,-23.1203,-134.9692,74.68,75,79,16.55,PF,1605236400
36,Te Anau,-45.4167,167.7167,66.18,37,13,9.42,NZ,1605236400
37,Sørland,67.667,12.6934,47.95,81,100,22.48,NO,1605236400
38,Kresttsy,58.2452,32.5165,38.32,97,100,1.81,RU,1605236400
39,Mataura,-46.1927,168.8643,76.68,22,6,9.95,NZ,1605236400
40,Atuona,-9.8,-139.0333,78.3,71,12,12.8,PF,1605236400
41,Yellowknife,62.456,-114.3525,15.12,90,24,4.68,CA,1605236400
42,Ocós,14.5094,-92.1933,79.86,89,38,4.23,GT,1605236400
43,Punta Arenas,-53.15,-70.9167,48.18,63,33,16.15,CL,1605236400
44,Rørvik,64.8621,11.2373,45.19,75,100,18.84,NO,1605236400
45,Dhidhdhoo,6.8833,73.1,82.83,66,86,6.44,MV,1605236400
46,Nikolskoye,59.7035,30.7861,36.95,91,49,3.24,RU,1605236400
47,Sistranda,63.7256,8.834,46.99,69,49,11.95,NO,1605236400
48,Asifābād,19.3667,79.2833,77.31,78,61,2.35,IN,1605236400
49,Gobabis,-22.45,18.9667,67.71,60,86,13.06,NA,1605236400
50,San Carlos,9.6612,-68.5827,75.27,90,25,2.89,VE,1605236400
51,Puerto Colombia,10.9878,-74.9547,82.08,86,66,2.37,CO,1605236400
52,Grand Gaube,-20.0064,57.6608,75.36,81,1,10.98,MU,1605236400
53,Mount Gambier,-37.8333,140.7667,58.26,84,85,9.53,AU,1605236400
54,Lanzhou,36.0564,103.7922,54.81,58,67,1.28,CN,1605236400
55,Kajaani,64.2273,27.7285,38.17,95,91,8.03,FI,1605236400
56,Kundiawa,-6.0167,144.9667,76.59,60,35,2.39,PG,1605236400
57,Ponta do Sol,32.6667,-17.1,67.53,79,50,4.85,PT,1605236400
58,Yamandu,7.9362,-11.4928,73.02,95,1,1.03,SL,1605236400
59,Butaritari,3.0707,172.7902,81.32,74,93,12.06,KI,1605236400
60,Thunder Bay,48.4001,-89.3168,28.0,85,85,8.43,CA,1605236400
61,Hong Kong,22.2855,114.1577,71.87,49,73,8.05,HK,1605236400
62,Clyde River,70.4692,-68.5914,-2.83,80,92,12.1,CA,1605236400
63,Tiksi,71.6872,128.8694,1.26,94,93,3.04,RU,1605236400
64,Río Gallegos,-51.6226,-69.2181,54.75,51,63,17.87,AR,1605236400
65,Magistral'nyy,56.1725,107.4458,28.85,93,100,5.66,RU,1605236400
66,Hilo,19.7297,-155.09,75.25,67,60,7.07,US,1605236400
67,Saint Paul Harbor,57.79,-152.4072,40.41,62,20,34.87,US,1605236400
68,Raudeberg,61.9875,5.1352,53.01,64,100,13.2,NO,1605236400
