,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Guerrero Negro,27.9769,-114.0611,62.92,75,8,7.85,MX,1605247200
1,Vaini,-21.2,-175.2,77.99,85,63,11.36,TO,1605247200
2,Birao,10.2849,22.7882,75.31,22,35,10.36,CF,1605247200
3,New Norfolk,-42.7826,147.0587,63.84,54,70,2.89,AU,1605247200
4,Inongo,-1.95,18.2667,71.2,95,100,4.23,CD,1605247200
5,Busselton,-33.65,115.3333,65.26,61,87,12.68,AU,1605247200
6,Cidreira,-30.1811,-50.2056,67.26,95,5,3.65,BR,1605247200
7,São João da Barra,-21.6403,-41.0511,71.71,96,100,13.42,BR,1605247200
8,Qaqortoq,60.7167,-46.0333,24.85,77,78,1.63,GL,1605247200
9,Hithadhoo,-0.6,73.0833,82.11,80,100,18.5,MV,1605247200
10,Port Alfred,-33.5906,26.891,71.44,77,0,19.71,ZA,1605247200
11,Uravakonda,14.95,77.2667,81.63,73,89,11.74,IN,1605247200
12,Pyu,18.4833,96.4333,87.12,63,14,4.99,MM,1605247200
13,Najrān,17.4924,44.1277,73.02,34,10,5.55,SA,1605247200
14,Oparino,59.8518,48.2783,26.87,98,100,0.78,RU,1605247200
15,Kapaa,22.0752,-159.319,77.45,74,47,17.85,US,1605247200
16,Hobart,-42.8794,147.3294,59.85,79,79,5.97,AU,1605247200
17,Khatanga,71.9667,102.5,-12.03,90,0,6.35,RU,1605247200
18,Ancud,-41.8697,-73.8203,52.39,94,95,13.04,CL,1605247200
19,Cape Town,-33.9258,18.4232,70.54,71,57,5.28,ZA,1605247200
20,Ushuaia,-54.8,-68.3,43.02,68,49,7.83,AR,1605247200
21,Cabo San Lucas,22.8909,-109.9124,70.9,66,43,7.45,MX,1605247200
22,Longyearbyen,78.2186,15.6401,32.94,82,84,14.34,SJ,1605247200
23,Hermanus,-34.4187,19.2345,73.92,47,21,6.93,ZA,1605247200
24,Boguchany,58.3814,97.4531,32.2,95,100,15.08,RU,1605247200
25,Bluff,-46.6,168.3333,62.55,55,0,9.15,NZ,1605247200
26,Benicarló,40.4165,0.4271,57.27,83,99,2.3,ES,1605247200
27,Albany,42.6001,-73.9662,36.54,78,81,3.0,US,1605247200
28,Fortuna,40.5982,-124.1573,45.05,79,48,6.53,US,1605247200
29,Yelyzavethradka,48.8038,32.4046,32.43,92,100,5.03,UA,1605247200
30,Lüderitz,-26.6481,15.1594,66.61,68,0,11.01,NA,1605247200
31,Touros,-5.1989,-35.4608,78.06,83,21,13.4,BR,1605247200
32,Talnakh,69.4865,88.3972,-9.49,85,5,1.48,RU,1605247200
33,Dossor,47.5272,52.9811,32.9,89,22,15.95,KZ,1605247200
34,Faanui,-16.4833,-151.75,79.93,74,41,7.94,PF,1605247200
